"CR231172","Corn",2000,3.49
"CR231172","Corn",2010,4.97
"CR231172","Corn",2000,0.99
"CR231172","Corn",2010,1.42
"CR231172","Corn",2000,0.99
"CR231172","Corn",2010,1.42
"CR231172","Rice",2000,4.11
"CR231172","Rice",2010,4.82
"CR231172","Rice",2000,2.11
"CR231172","Rice",2010,2.48
"CR231173","Corn",2000,3.15
"CR231173","Corn",2010,4.48
"CR231173","Corn",2000,0.83
"CR231173","Corn",2010,1.18
"CR231173","Rice",2000,4.49
"CR231173","Rice",2010,5.26
"CR231185","Corn",2000,2.23
"CR231185","Corn",2010,3.18
"CR231185","Rice",2000,1.26
"CR231185","Rice",2010,1.48
"CR231186","Corn",2000,2.4
"CR231186","Corn",2010,3.42
"CR231186","Rice",2000,4.83
"CR231186","Rice",2010,5.66
"CR231186","Rice",2000,4.83
"CR231186","Rice",2010,5.66
"CR231186","Rice",2000,4.83
"CR231186","Rice",2010,5.66
"CR231186","Rice",2000,4.83
"CR231186","Rice",2010,5.66
"CR231187","Corn",2000,2.23
"CR231187","Corn",2010,3.18
"CR231187","Corn",2000,0.51
"CR231187","Corn",2010,0.72
"CR231187","Corn",2000,0.51
"CR231187","Corn",2010,0.72
"CR231187","Rice",2000,4.12
"CR231187","Rice",2010,4.82
"CR231188","Corn",2000,2.75
"CR231188","Corn",2010,3.92
"CR231188","Corn",2000,0.59
"CR231188","Corn",2010,0.85
"CR231188","Corn",2000,0.59
"CR231188","Corn",2010,0.85
"CR231188","Corn",2000,2.78
"CR231188","Corn",2010,3.96
"CR231188","Corn",2000,2.78
"CR231188","Corn",2010,3.96
"CR231188","Corn",2000,2.78
"CR231188","Corn",2010,3.96
"CR231188","Corn",2000,2.78
"CR231188","Corn",2010,3.96
"CR231189","Corn",2000,2.64
"CR231189","Corn",2010,3.76
"CR231189","Corn",2000,0.73
"CR231189","Corn",2010,1.04
"CR231189","Corn",2000,0.73
"CR231189","Corn",2010,1.04
"CR231189","Corn",2000,2.67
"CR231189","Corn",2010,3.81
"CR231189","Corn",2000,2.67
"CR231189","Corn",2010,3.81
"CR231189","Corn",2000,2.67
"CR231189","Corn",2010,3.81
"CR231189","Corn",2000,2.67
"CR231189","Corn",2010,3.81
"CR231190","Corn",2000,2.97
"CR231190","Corn",2010,4.23
"CR231190","Corn",2000,0.59
"CR231190","Corn",2010,0.84
"CR231190","Corn",2000,0.59
"CR231190","Corn",2010,0.84
"CR231190","Corn",2000,2.99
"CR231190","Corn",2010,4.26
"CR231190","Corn",2000,2.99
"CR231190","Corn",2010,4.26
"CR231190","Corn",2000,2.99
"CR231190","Corn",2010,4.26
"CR231190","Corn",2000,2.99
"CR231190","Corn",2010,4.26
"CR231191","Corn",2000,2.54
"CR231191","Corn",2010,3.61
"CR231191","Corn",2000,0.66
"CR231191","Corn",2010,0.94
"CR231191","Corn",2000,0.66
"CR231191","Corn",2010,0.94
"CR231191","Corn",2000,2.55
"CR231191","Corn",2010,3.62
"CR231191","Corn",2000,2.55
"CR231191","Corn",2010,3.62
"CR231191","Corn",2000,2.55
"CR231191","Corn",2010,3.62
"CR231191","Corn",2000,2.55
"CR231191","Corn",2010,3.62
"CR231192","Corn",2000,2.97
"CR231192","Corn",2010,4.23
"CR231192","Corn",2000,0.58
"CR231192","Corn",2010,0.82
"CR231192","Corn",2000,0.58
"CR231192","Corn",2010,0.82
"CR231192","Corn",2000,3.02
"CR231192","Corn",2010,4.29
"CR231192","Corn",2000,3.02
"CR231192","Corn",2010,4.29
"CR231192","Corn",2000,3.02
"CR231192","Corn",2010,4.29
"CR231192","Corn",2000,3.02
"CR231192","Corn",2010,4.29
"CR231194","Corn",2000,3.11
"CR231194","Corn",2010,4.42
"CR231195","Corn",2000,2.96
"CR231195","Corn",2010,4.22
"CR231195","Corn",2000,0.69
"CR231195","Corn",2010,0.98
"CR231195","Corn",2000,0.69
"CR231195","Corn",2010,0.98
"CR231195","Corn",2000,2.97
"CR231195","Corn",2010,4.23
"CR231195","Corn",2000,2.97
"CR231195","Corn",2010,4.23
"CR231195","Corn",2000,2.97
"CR231195","Corn",2010,4.23
"CR231195","Corn",2000,2.97
"CR231195","Corn",2010,4.23
"CR231196","Corn",2000,2.92
"CR231196","Corn",2010,4.16
"CR231196","Corn",2000,0.54
"CR231196","Corn",2010,0.76
"CR231196","Corn",2000,0.54
"CR231196","Corn",2010,0.76
"CR231196","Corn",2000,2.95
"CR231196","Corn",2010,4.2
"CR231196","Corn",2000,2.95
"CR231196","Corn",2010,4.2
"CR231196","Corn",2000,2.95
"CR231196","Corn",2010,4.2
"CR231196","Corn",2000,2.95
"CR231196","Corn",2010,4.2
"CR231196","Rice",2000,5.9
"CR231196","Rice",2010,6.91
"CR231196","Rice",2000,5.9
"CR231196","Rice",2010,6.91
"CR231196","Rice",2000,5.9
"CR231196","Rice",2010,6.91
"CR231196","Rice",2000,5.9
"CR231196","Rice",2010,6.91
"CR231197","Corn",2000,2.98
